Name,Artist,Composer,Album,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,CoverArtist,CoverTrackName,CoverYear,OGrace,CoverRace
I Will Always Love You,Dolly Parton,Dolly Parton,Jolene,Country,7262459,177,1,1,6,10,1974,Whitney Hoston,I Will Always Love You,1992,White,Black
Take Me to the River,Al Green,Not Documented,Al Green Explores Your Mind,Soul,8758847,225,1,1,2,9,1974,Talking Heads,Take Me to the River,1978,Black,White
Don't Leave Me This Way,Harold Melvin & The Blue Notes,"Kenneth Gamble, Leon Huff & Cary Gilbert",Wake Up Everybody,Soul,13413346,363,1,1,4,8,1975,Thelma Houston,Don't Leave Me This Way,1976,Black,Black
Bette Davis Eyes,Jackie DeShannon,Jackie DeShannon & Donna Weiss,New Arrangement (Bonus Track Version),Rock,6218395,165,1,1,6,16,1975,Kim Carnes,Bette Davis Eyes,1981,White,White
I Love Rock N Roll,The Arrows,A. Merrill & J. Hooker,Walk Away Renee - Dreamin',Rock,6813083,169,1,1,4,7,1975,Joan Jett and the Blackhearts,I Love Rock N Roll,1981,White,White
Angel of the Morning,Merrilee Rush & The Turnabouts,Chip Taylor,Angel of the Morning,Pop,7641294,192,1,1,6,21,1975,Juice Newton,Angel of the Morning,1981,White,White
Hanging on the Telephone,The Nerves,,One Way Ticket,Rock,4629438,124,1,1,3,20,1976,Blondie,Hanging on the Telephone,1978,White,White
The Greatest Love of All,George Benson,Linda Creed & Michael Masser,The Ultimate Collection,Jazz,7747496,212,1,1,6,36,1977,Whitney Hoston,The Greatest Love of All,1986,Black,Black
Love Don't Live Here Anymore,Rose Royce,Miles Gregory,Rose Royce III: Strikes Again!,R&B/Soul,8631231,238,1,1,5,9,1978,Madonna,Love Don't Live Here Anymore,1984,Black,White
I Feel for You,Prince,Prince,Prince,R&B/Soul,7743350,205,1,1,8,9,1979,Chaka Khan,I Feel for You,1984,Black,Black
Gloria,Umberto Tozzi,Umberto Tozzi & Giancarlo Bigazzi,Gloria,Pop,10059612,264,1,1,1,9,1979,Laura Brannigan,Gloria,1982,White,White
When You Were Mine,Prince,Prince,Dirty Mind,R&B/Soul,8265479,225,1,1,2,8,1980,Cyndi Lauper,When You Were Mine,1983,Black,White
State of Independence,Jon & Vangelis,Jon Anderson & Evangelos Papathanassiou,The Friends of Mister Cairo (2016 Remaster),New Age,16200351,473,1,1,2,7,1981,Donna Summer,State of Independence,1982,White,Black
Just the Two of Us,"Grover Washington, Jr. with Bill Withers","Ralph MacDonald, William Salter & Withers",The Best Of Bill Withers: Lean On Me,R&B/Soul,9063997,237,1,1,18,18,1981,Will Smith,Just the Two of Us,1997,Black,Black
Alone,Iten,Billy Steinberg & Tom Kelly,Taking A Cold Look,Rock,8711242,237,1,1,3,10,1983,Heart,Alone,1987,White,White
Mad World,Tears for Fears,Roland Orzabal,The Hurting (Remastered),Rock,7651655,215,1,1,2,14,1983,Gary Jules,Mad World,2001,White,White
How Am I Supposed to Live Without You,Laura Branigan,Doug James & Michael Bolton,The Best of Branigan,Pop,9453179,263,1,1,8,13,1983,Michael Bolton,How Am I Supposed to Live Without You,1983,White,White
It's My Life,Talk Talk,Mark Hollis & Tim Friese-Greene,The Very Best Of,Rock,8334106,232,1,1,1,16,1984,No Doubt,It's My Life,2003,White,White
